Time,Flags O2_Air,Value O2_Air,Unit O2_Air,Temp O2_Air,T.Unit O2_Air,Flags O2_2,Value O2_2,Unit O2_2,Temp O2_2,T.Unit O2_2,Flags O2_3,Value O2_3,Unit O2_3,Temp O2_3,T.Unit O2_3,Flags O2_4,Value O2_4,Unit O2_4,Temp O2_4,T.Unit O2_4,Flags pH_1,Value pH_1,Unit pH_1,Temp pH_1,T.Unit pH_1,Flags pH_2,Value pH_2,Unit pH_2,Temp pH_2,T.Unit pH_2,Flags pH_3,Value pH_3,Unit pH_3,Temp pH_3,T.Unit pH_3,Flags pH_4,Value pH_4,Unit pH_4,Temp pH_4,T.Unit pH_4,D130
"13/03/2015 0:17:46","0","53,7","mV","25,0","°C","0","-631,5","mV","25,0","°C","16","0,3","mV","22,5","°C","0","-720,3","mV","25,0","°C","16","-52,2","mV","25,5","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:18:06","0","53,7","mV","25,0","°C","0","-632,8","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-723,4","mV","25,0","°C","16","-51,8","mV","25,5","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:18:26","0","53,7","mV","25,0","°C","0","-628,1","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-716,9","mV","25,0","°C","16","-51,8","mV","25,5","°C","0","-50,9","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:18:46","0","53,7","mV","25,0","°C","0","-635,2","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-723,7","mV","25,0","°C","16","-51,7","mV","25,5","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:19:06","0","53,7","mV","25,0","°C","0","-642,3","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-730,6","mV","25,0","°C","16","-51,8","mV","25,5","°C","0","-50,8","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:19:26","0","53,7","mV","25,0","°C","0","-649,6","mV","25,0","°C","16","0,3","mV","22,5","°C","0","-738,4","mV","25,0","°C","16","-51,8","mV","25,5","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:19:46","0","53,7","mV","25,0","°C","0","-652,6","mV","25,0","°C","16","0,2","mV","22,5","°C","0","-741,2","mV","25,0","°C","16","-51,7","mV","25,5","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:20:06","0","53,7","mV","25,0","°C","0","-651,9","mV","25,0","°C","16","0,2","mV","22,5","°C","0","-743,1","mV","25,0","°C","16","-52,1","mV","25,5","°C","0","-50,9","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:20:26","0","53,7","mV","25,0","°C","0","-667,8","mV","25,0","°C","16","0,3","mV","22,5","°C","0","-759,6","mV","25,0","°C","16","-52,1","mV","25,5","°C","0","-51,0","mV","25,0","°C","0","-50,6","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:20:46","0","53,7","mV","25,0","°C","0","-672,3","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-764,8","mV","25,0","°C","16","-52,2","mV","25,5","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,6","mV","25,0","°C",""
